expense,category,amount,currency,date
paid house rent,Home & Rent,73097,PKR,2026-03-04
bought shirt online,Shopping,3658,PKR,2026-06-23
miscellaneous purchase,Other,19449,PKR,2026-04-19
bought groceries,Food & Groceries,3682,PKR,2026-03-01
bought perfume,Personal Care,9395,PKR,2026-02-20
miscellaneous purchase yesterday,Other,7323,PKR,2026-04-25
bought train ticket,Travel,42853,PKR,2026-06-28
paid streaming subscription this week,Entertainment,2747,PKR,2026-02-25
bought medicine,Healthcare,25198,PKR,2026-01-25
bought prescription medicine this week,Healthcare,39865,PKR,2026-03-09
bought snacks for family,Food & Groceries,2145,PKR,2026-04-07
paid utility bill this week,Utilities,12350,PKR,2026-05-28
bought clothes,Shopping,21968,PKR,2026-02-28
bought books today,Education,13738,PKR,2026-04-08
paid exam fee online,Education,48319,PKR,2026-02-11
visited hospital today,Healthcare,44220,PKR,2026-03-10
miscellaneous expense for family,Other,5707,PKR,2026-05-17
paid miscellaneous charges today,Other,15247,PKR,2026-04-08
paid school fee online,Education,43004,PKR,2026-08-04
bought chicken,Food & Groceries,13289,PKR,2026-03-22
paid streaming subscription,Entertainment,3656,PKR,2026-05-26
general expense today,Other,16458,PKR,2026-04-12
bought home appliances today,Home & Rent,70436,PKR,2026-02-05
bought household items for family,Shopping,8909,PKR,2026-07-11
paid travel fare for family,Travel,105700,PKR,2026-04-03
bought shirt for family,Shopping,16471,PKR,2026-01-24
bought fruits today,Food & Groceries,10380,PKR,2026-02-10
bought home appliances for family,Home & Rent,17653,PKR,2026-04-09
bought concert ticket yesterday,Entertainment,8869,PKR,2026-03-06
haircut online,Personal Care,12008,PKR,2026-01-30
paid maintenance charges this week,Home & Rent,90174,PKR,2026-01-29
bought educational material today,Education,59970,PKR,2026-01-01
general expense for family,Other,5954,PKR,2026-05-10
paid mobile bill this week,Utilities,17135,PKR,2026-06-05
bought shirt this week,Shopping,25285,PKR,2026-02-11
bought perfume,Personal Care,10013,PKR,2026-03-24
paid credit card bill,Bills & Payments,48076,PKR,2026-08-13
paid school fee,Education,32071,PKR,2026-08-13
booked hotel,Travel,128399,PKR,2026-07-28
paid utility bill today,Utilities,4707,PKR,2026-06-18
paid service fee today,Bills & Payments,35241,PKR,2026-05-16
paid travel fare today,Travel,142373,PKR,2026-07-13
paid miscellaneous charges online,Other,10314,PKR,2026-04-13
bought cleaning supplies this week,Home & Rent,115845,PKR,2026-08-19
visited salon,Personal Care,4261,PKR,2026-02-27
paid water bill,Utilities,19777,PKR,2026-05-22
online shopping today,Shopping,535,PKR,2026-01-19
miscellaneous expense today,Other,2308,PKR,2026-08-20
restaurant dinner,Food & Groceries,8523,PKR,2026-03-02
paid exam fee today,Education,71178,PKR,2026-02-03
miscellaneous purchase for family,Other,15588,PKR,2026-03-04
paid monthly bill today,Bills & Payments,12863,PKR,2026-01-25
bought home appliances this week,Home & Rent,112038,PKR,2026-04-16
paid online bill,Bills & Payments,88759,PKR,2026-06-17
paid house rent,Home & Rent,106544,PKR,2026-07-06
bought prescription medicine,Healthcare,16595,PKR,2026-02-19
bought household items yesterday,Shopping,4893,PKR,2026-04-19
booked ride yesterday,Transportation,4192,PKR,2026-08-12
paid internet bill for family,Utilities,3708,PKR,2026-01-13
paid maintenance charges,Home & Rent,25448,PKR,2026-07-12
bought shirt yesterday,Shopping,16213,PKR,2026-05-04
bought cosmetics,Shopping,5694,PKR,2026-04-08
pizza for dinner this week,Food & Groceries,12946,PKR,2026-07-20
paid bank charges yesterday,Bills & Payments,91803,PKR,2026-07-07
